Clorofila_real (μg/L),Clorofila_predicha (μg/L)
12.639999999999999,27.978842
46.040000000000006,240.6276
1194.9999999999998,1471.0941
40.7175,28.48369
161.26800000000034,162.76556
90.41999999999997,33.539917
35.36000000000001,25.783895
72.97999999999999,38.22524
169.09999999999997,90.37912
183.42999999999998,103.33997
175.86000000000007,113.81168
38.79999999999999,84.27354
32.03999999999999,33.884495
271.26999999999987,201.29697
35.84,81.08438
170.51999999999998,84.14092
352.4399999999999,252.02693
227.83999999999992,106.615486
66.70995,128.96916
189.54560000000004,54.70355
88.29,45.21987
137.76999999999998,73.84902
68.14433333333334,28.338245
33.699999999999996,23.325193
125.66799999999992,179.66962
29.189999999999994,39.069405
188.92000000000002,401.00027
9.49,27.586071
82.236,73.14815
108.23,112.388466
122.89999999999995,43.058956
118.89999999999996,81.75816
182.98000000000002,236.32137
134.21000000000004,109.23393
105.02000000000001,111.83492
170.16999999999993,61.78736
134.657,76.625786
10.635499999999999,65.78277
177.2899999999999,43.74253
318.9800000000001,152.58492
33.82,32.466805
21.360000000000003,26.361427
25.509999999999998,29.591166
100.03999999999999,47.22108
31.68400000000001,41.428047
112.57999999999998,213.5732
353.33000000000004,211.2854
44.5,40.15715
113.83099999999999,91.37845
33.54187500000002,113.12118
65.504,75.864075
156.9960000000001,104.36597
292.4831999999999,100.749435
999.915,411.97852
108.57999999999996,78.45571
28.950000000000003,25.60281
32.03999999999999,31.65057
175.86000000000007,64.33073
1948.0460526315803,841.16925
34.086999999999996,52.669346
11.269999999999998,35.46902
34.88999999999999,86.733284
4.254199999999999,62.0598
194.38,25.832138
54.11000000000002,32.160652
134.21000000000004,70.28239
